nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Laudos e perícias estruturais residenciais,Itajubá,Especialista Vistorias - Itajubá MG,Itajubá - MG,(35) 99810-5676,,Oficina de inspeção veicular,5.0,72.0,"""Alaor e sua equipe foram extremamente educados e atenciosos.""",-22.430666,-45.44843
Laudos e perícias estruturais residenciais,Itajubá,ANÁLISE CAR PERÍCIAS E VISTORIAS | Unidade Itajubá,Itajubá - MG,(35) 99971-7241,,Oficina de inspeção veicular,5.0,4.0,"""Bom atendimento recomendo a todos""",-22.438015,-45.460567
Laudos e perícias estruturais residenciais,Itajubá,Carprime Vistorias Automotivas (Superfel Vistorias Automotivas Ltda),Itajubá - MG,(35) 99944-9495,,Oficina de inspeção veicular,4.9,88.0,"""Equipe competente e de muita confiança, recomendo a todos.""",-22.424725,-45.492844
Laudos e perícias estruturais residenciais,Itajubá,Zetalab LTDA,Itajubá - MG,(35) 99974-5904,,Consultor em acústica,5.0,25.0,"""Empresa muito competente de ótima qualidade e serviços""",-22.426107,-45.448444
Laudos e perícias estruturais residenciais,Itajubá,Tech Vistorias - Unidade Itajubá-MG,Itajubá - MG,(35) 99721-6111,,Serviço de inspeção de veículos,5.0,2.0,"""Muito eficiente""",-22.426592,-45.45455
Laudos e perícias estruturais residenciais,Itajubá,Escritório de Engenharia José Valdir de Carvalho,Itajubá - MG,(35) 3621-4536,,Engenheiro civil,3.6,10.0,"""Bom escritório""",-22.437147,-45.456703
Laudos e perícias estruturais residenciais,Itajubá,Bueno Estrutural - Mega Estaca,Itajubá - MG,(35) 99731-4004,,Empresa de engenharia civil,5.0,5.0,"""serviço impecável e respeito ao cliente!!""",-22.42173,-45.4606
Laudos e perícias estruturais residenciais,Itajubá,Grupo Rigotto Engenharia,Itajubá - MG,(31) 99912-2132,,Empresa de topografia,5.0,38.0,"""Ótimo profissional recomendo atenciosos e prestativos""",-22.428637,-45.464245
Laudos e perícias estruturais residenciais,Itajubá,"EngServ - Soluções para Engenharia, Arquitetura e Topografia",Itajubá - MG,(35) 3621-8834,,Empresa de topografia,5.0,6.0,"""Ótimo serviço de topografia e engenharia""",-22.425688,-45.44896
Laudos e perícias estruturais residenciais,Itajubá,Projetek Engenharia,Itajubá - MG,(34) 99993-6620,,Engenheiro civil,5.0,1.0,,-22.423788,-45.46176
Laudos e perícias estruturais residenciais,Itajubá,Nova Visão Vistoria,Itajubá - MG,(35) 3622-7052,,Oficina de inspeção veicular,5.0,101.0,"""Atetendimento com máxima qualidade e muita responsabilidade!""",-22.424948,-45.44986
Laudos e perícias estruturais residenciais,Itajubá,JC INSPEÇÃO AUTOMOTIVA - Vistoria Veicular,Itajubá - MG,(35) 99711-0902,,Serviço de inspeção de veículos,5.0,5.0,"""Rápido, prático e eficiente.""",-22.428083,-45.462414
Laudos e perícias estruturais residenciais,Itajubá,Lucimara Santos,Itajubá - MG,(35) 98406-6979,,Engenheiro civil,4.5,2.0,,-22.444466,-45.456635
Laudos e perícias estruturais residenciais,Itajubá,DAC Engenharia Ltda,Itajubá - MG,(35) 2143-9087,,Empresa de engenharia civil,5.0,11.0,"""Competência , agilidade e atendimento e serviço completo em engenharia""",-22.426107,-45.448444
Laudos e perícias estruturais residenciais,Itajubá,CP - Soluções construtora,,(35) 99711-0498,,Construtora,5.0,16.0,"""Fiquei muito satisfeita com o trabalho entregue por eles.""",,
Laudos e perícias estruturais residenciais,Itajubá,Darlene Mariana – Engenheira Civil | Regularização de Imóveis,Itajubá - MG,(35) 98468-8506,,Engenheiro,5.0,11.0,"""Consegue nos ajudar naquilo que mais desejamos, a casa própria.""",-22.431723,-45.499023
Laudos e perícias estruturais residenciais,Itajubá,objetiva vistorias itajubá,Itajubá - MG,(35) 98431-1679,,Oficina de inspeção veicular,4.0,4.0,"""Serviço de qualidade recomendo""",-22.424335,-45.45827
Laudos e perícias estruturais residenciais,Itajubá,Visão Total Vistoria Veicular,Itajubá - MG,(35) 99924-6304,,Oficina de inspeção veicular,4.4,14.0,"""Parabéns pelo atendimento vcs são top!!""",-22.425817,-45.467175
Laudos e perícias estruturais residenciais,Itajubá,Rodebem Vistoria Veicular,Itajubá - MG,(35) 99222-5213,,Oficina de inspeção veicular,4.5,47.0,"""Excelente lugar para realizar vistorias lugar amplo e agradável.""",-22.431429,-45.456585
Laudos e perícias estruturais residenciais,Itajubá,Lis Magalhães Arquitetura e Interiores Itajubá-MG,,(35) 99211-6461,,Arquiteto,5.0,6.0,"""Excelente profissional, super atenciosa e trabalho impecável.""",,
Regularização ambiental e licenças para propriedades rurais,Itajubá,Fazenda Certa,Itajubá - MG,,,Avaliadora de imóveis,5.0,6.0,,-22.412844,-45.44922
Regularização ambiental e licenças para propriedades rurais,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18.0,"""... recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,Itajubá - MG,(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""Recomendo a todos q tiverem interesse a usar energia solar.""",-22.441967,-45.433247
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,Itajubá - MG,(35) 3622-0802,,Fornecedor de equipamentos a energia solar,4.7,35.0,"""Empresa excelente, ótimo atendimento, agilidade eficiência e preço.""",-22.424833,-45.46815
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Energia Service,Itajubá - MG,(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,AER,Itajubá - MG,(35) 99204-0064,,Empresa de energia solar,5.0,3.0,,-22.43108,-45.45909
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Alta Tensão Energia Solar,Itajubá - MG,(35) 2143-1277,,Fornecedor de equipamentos a energia solar,4.9,44.0,"""Ótima empresa, bom atendimento, pós venda excelente, recomendo.""",-22.439768,-45.435738
Consultoria em energia trifásica e subestações industriais,Itajubá,Subestação Itajubá 3,Piranguçu - MG,,,Escritório da empresa,5.0,1.0,,-22.467417,-45.51676
Consultoria em energia trifásica e subestações industriais,Itajubá,TSE - Tecnologia em Sistemas Elétricos,Itajubá - MG,(35) 3622-0796,,Engenheiro eletricista,5.0,2.0,,-22.41595,-45.455837
Consultoria em energia trifásica e subestações industriais,Itajubá,Energia Service,Itajubá - MG,(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
Consultoria em energia trifásica e subestações industriais,Itajubá,Archote Jr. - Projetos Elétricos,Itajubá - MG,(35) 99741-0136,,Consultoria em engenharia,5.0,14.0,"""Foram super atenciosos e entregaram tudo no prazo correto e estabelecido.""",-22.412374,-45.4496
Consultoria em energia trifásica e subestações industriais,Itajubá,Juntos Energia,Itajubá - MG,0800 718 7203,,Empresa de energia solar,2.6,71.0,"""Entrega o que promete""",-22.428127,-45.45619
Consultoria em energia trifásica e subestações industriais,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,Itajubá - MG,(35) 3622-0802,,Fornecedor de equipamentos a energia solar,4.7,35.0,"""Super recomendado!""",-22.424833,-45.46815
Consultoria em energia trifásica e subestações industriais,Itajubá,Leistung Indústria Comercio e Serviços de Sistemas de Energia Ltda,Itajubá - MG,(35) 3622-5010,,Equipamentos e soluções de energia,4.4,14.0,,-22.42913,-45.493908
Consultoria em energia trifásica e subestações industriais,Itajubá,High Voltage Equipment - HVEX,Itajubá - MG,(35) 3622-2699,,Equipamentos e soluções de energia,4.9,29.0,"""Empresa de tecnologia e testes elétricos em Itajubá!""",-22.438398,-45.437447
Consultoria em energia trifásica e subestações industriais,Itajubá,AMTK Soluções em Energia Ltda,Itajubá - MG,(35) 3622-4622,,Companhia elétrica,5.0,23.0,"""Excelência em serviços e produtos.""",-22.422844,-45.481647
Consultoria em energia trifásica e subestações industriais,Itajubá,Trifásica Elétrica,Guarulhos - SP,(11) 4486-8299,,Equipamentos e soluções de energia,4.4,10.0,"""A KGM engenharia Elétrica Recomenda essa equipe Sensacional !!!""",-23.459942,-46.480553
Consultoria em energia trifásica e subestações industriais,Itajubá,STDE Service,Itajubá - MG,(35) 3621-2186,,Consultoria,5.0,3.0,,-22.422613,-45.456676
Consultoria em energia trifásica e subestações industriais,Itajubá,GE Vernova Grid Solutions,Itajubá - MG,(35) 3629-7000,,Fabricante,4.7,18.0,"""Excelente 👏🏻👏🏻👏🏻""",-22.433115,-45.48784
Consultoria em energia trifásica e subestações industriais,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,Itajubá - MG,(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""A instituição está extremamente satisfeita com os resultados.""",-22.441967,-45.433247
Consultoria em energia trifásica e subestações industriais,Itajubá,Spiral Energia,Itajubá - MG,,,Empresa de energia solar,5.0,7.0,"""Credibilidade e profissionalismo, e a marca registrada da empresa.""",-22.410841,-45.449615
