nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Engenharia de contenção e muros de arrimo residenciais,Itajubá,Remo Engenharia Itajubá,Itajubá - MG,(35) 99848-8452,,Escritório da empresa,3.0,20.0,,-22.438627,-45.437416
Engenharia de contenção e muros de arrimo residenciais,Itajubá,Cavalca Terraplanagem,Itajubá - MG,(35) 99990-2044,,Empresa de Terraplenagem,4.6,15.0,"""A melhor terraplanagem de itajubá""",-22.424015,-45.494083
Engenharia de contenção e muros de arrimo residenciais,Itajubá,Blocos Ano Bom,Itajubá - MG,(35) 99758-8482,,Loja de materiais de construção,5.0,2.0,"""Super indico!""",-22.377638,-45.39024
Perícia e vistoria técnica para seguros e obras,Itajubá,Especialista Vistorias - Itajubá MG,Itajubá - MG,(35) 99810-5676,,Oficina de inspeção veicular,5.0,72.0,"""Atendimento top Agilidade e rapidez na vistoria Super Recomendo Nota 10""",-22.430666,-45.44843
Perícia e vistoria técnica para seguros e obras,Itajubá,Carprime Vistorias Automotivas (Superfel Vistorias Automotivas Ltda),Itajubá - MG,(35) 99944-9495,,Oficina de inspeção veicular,4.9,88.0,"""Equipe competente e de muita confiança, recomendo a todos.""",-22.424725,-45.492844
Perícia e vistoria técnica para seguros e obras,Itajubá,ANÁLISE CAR PERÍCIAS E VISTORIAS | Unidade Itajubá,Itajubá - MG,(35) 99971-7241,,Oficina de inspeção veicular,5.0,4.0,"""Bom atendimento recomendo a todos""",-22.438015,-45.460567
Perícia e vistoria técnica para seguros e obras,Itajubá,objetiva vistorias itajubá,Itajubá - MG,(35) 98431-1679,,Oficina de inspeção veicular,4.0,4.0,"""Serviço de qualidade recomendo""",-22.424335,-45.45827
Perícia e vistoria técnica para seguros e obras,Itajubá,Visão Total Vistoria Veicular,Itajubá - MG,(35) 99924-6304,,Oficina de inspeção veicular,4.4,14.0,"""Parabéns pelo atendimento vcs são top!!""",-22.425817,-45.467175
Perícia e vistoria técnica para seguros e obras,Itajubá,Rodebem Vistoria Veicular,Itajubá - MG,(35) 99222-5213,,Oficina de inspeção veicular,4.5,47.0,"""Equipe muiti simpática e organização na vistoria.... gostei muito""",-22.431429,-45.456585
Perícia e vistoria técnica para seguros e obras,Itajubá,Nova Visão Vistoria,Itajubá - MG,(35) 3622-7052,,Oficina de inspeção veicular,5.0,101.0,"""Ótimos profissionais, fui muito bem recebido e um serviço de excelência.""",-22.424948,-45.44986
Perícia e vistoria técnica para seguros e obras,Itajubá,Inspeção Predial | SOS Soluções de Engenharia,Belo Horizonte - MG,(31) 99168-1007,,Empresa de engenharia civil,5.0,44.0,"""Profissional competente que entende o que está fazendo.""",-19.83047,-43.956367
Perícia e vistoria técnica para seguros e obras,Itajubá,Especialista Vistorias - Caxambu,Caxambu - MG,(35) 3341-1433,,Serviço de inspeção de veículos,5.0,54.0,"""Pessoas competentes,educados e solícitos em fazer um trabalho bem feito.""",-21.970366,-44.925453
Perícia e vistoria técnica para seguros e obras,Itajubá,Itajubá Corretora de Seguros,Itajubá - MG,(35) 3622-5999,,Agência de seguros,4.5,2.0,,-22.425692,-45.46207
Perícia e vistoria técnica para seguros e obras,Itajubá,S-PAIVA,Itajubá - MG,(35) 3622-9290,,Serviço de saúde ocupacional,5.0,18.0,"""Ótimos profissionais.""",-22.42328,-45.456497
Perícia e vistoria técnica para seguros e obras,Itajubá,PERÍCIA MG,Belo Horizonte - MG,(31) 4104-1888,,Consultoria em engenharia,4.8,5.0,,-19.931232,-43.943195
Perícia e vistoria técnica para seguros e obras,Itajubá,Nautiplus,Itajubá - MG,(35) 3622-7500,,Corretor de seguros,5.0,12.0,,-22.420141,-45.454327
Perícia e vistoria técnica para seguros e obras,Itajubá,Mais Pacientes Ocupacional - Medicina do Trabalho Itajubá,Itajubá - MG,(35) 99777-6638,,Serviço de saúde ocupacional,3.8,13.0,"""Resolvi tudo o que precisava em relação ao e-social da minha empresa!!!""",-22.425404,-45.459515
Perícia e vistoria técnica para seguros e obras,Itajubá,Clínica Itajuba,Itajubá - MG,(35) 3623-8595,,Saúde e segurança ocupacional,4.5,66.0,"""Excelente atendimento e são rápido e profissionais no atendimento""",-22.421879,-45.459423
Perícia e vistoria técnica para seguros e obras,Itajubá,Grechi Corretora e Administradora de Seguros,Itajubá - MG,(35) 3621-4594,,Agência de seguros,4.8,36.0,"""Excelente Empresa, Estou muito satisfeito e parabéns pela atenção.""",-22.42475,-45.44483
Perícia e vistoria técnica para seguros e obras,Itajubá,Orion Administradora e Corretora,Itajubá - MG,(35) 3622-2958,,Agência de seguros,4.8,21.0,,-22.425072,-45.45433
Instalação de reservatórios e sistemas de combate a incêndio,Itajubá,EP Minas - Extintores | EPI's,Itajubá - MG,(35) 3622-2772,,Loja de Equipamento Contra Incêndio,4.7,12.0,"""Lugar lindo de muita paz... Natureza exuberante.""",-22.429651,-45.459435
Automação e monitoramento de estufas agrícolas,Itajubá,Asthon tecnologia,Itajubá - MG,(31) 98573-6946,,Empresa de Software,5.0,4.0,"""Extremamente útil com uma tecnologia inteligente""",-22.410755,-45.449604
Automação e monitoramento de estufas agrícolas,Itajubá,MULTIPEC Agropecuária | Sistemas de Ordenha | Geradores Elétricos | Farmácia Veterinária,Itajubá - MG,(35) 99963-7232,,Agricultura e pecuária,5.0,21.0,"""Ótimo profissionais!""",-22.426212,-45.449116
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Zetalab LTDA,Itajubá - MG,(35) 99974-5904,,Consultor em acústica,5.0,25.0,"""Empresa muito competente de ótima qualidade e serviços""",-22.426107,-45.448444
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Garcia Monaco Consultoria Ambiental,Itajubá - MG,(35) 3623-2396,,Consultoria,4.5,8.0,,-22.421421,-45.460667
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Combate Consultoria Ambiental Técnica Ltda.,Itajubá - MG,(35) 99193-1172,,Consultoria,4.0,1.0,,-22.433466,-45.458237
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Santi Engenharia e Meio Ambiente,Itajubá - MG,(35) 99989-1550,,Escritório da empresa,,,,-22.420956,-45.44589
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Projetek Engenharia,Itajubá - MG,(34) 99993-6620,,Engenheiro civil,5.0,1.0,,-22.423788,-45.46176
Consultoria em eficiência acústica e isolamento residencial,Itajubá,DAC Engenharia Ltda,Itajubá - MG,(35) 2143-9087,,Empresa de engenharia civil,5.0,11.0,"""Competência , agilidade e atendimento e serviço completo em engenharia""",-22.426107,-45.448444
Consultoria em eficiência acústica e isolamento residencial,Itajubá,AER,Itajubá - MG,(35) 99204-0064,,Equipamentos e soluções de energia,5.0,3.0,,-22.43108,-45.45909
Consultoria em eficiência acústica e isolamento residencial,Itajubá,iX Estudos e Projetos,Itajubá - MG,(35) 3622-3114,,Consultoria em engenharia,5.0,5.0,"""super interessante.""",-22.424894,-45.457306
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Espectro Grupo,Pouso Alegre - MG,(35) 99213-5000,,Consultor em acústica,4.5,2.0,,-22.233402,-45.933662
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Solucionne Termo Acustico do Brasil Ltda,Belo Horizonte - MG,(31) 3442-1713,,Consultor em acústica,4.7,70.0,"""Prestei serviços para a empresa e só posso fazer boas recomendações.""",-19.898674,-43.94329
Consultoria em eficiência acústica e isolamento residencial,Itajubá,Lucimara Santos,Itajubá - MG,(35) 98406-6979,,Engenheiro civil,4.5,2.0,,-22.444466,-45.456635
