nicho,cidade,nome,Endereço,Telefone,Website,Tipo,nota,reviews,Descricao,Latitude,Longitude
Regularização de imóveis,Rio de Janeiro,J D Machado Advogados & Consultores,N/A,(21) 3328-3042,N/A,Escritório de advocacia,5.0,55,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,MASCHIO PIONÓRIO ADVOCACIA - Filial Rio de Janeiro,N/A,(11) 93380-2035,N/A,Escritório de advocacia,5.0,21,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Medeiros despachante Advocacia imobiliária ( regularização imóveis) e Correspondente Juridico,N/A,(21) 99864-3191,N/A,Despachante,5.0,13,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Terreni Regularização de Imóveis Urbano e Rural,N/A,(21) 98130-0381,http://www.terreni.com.br/,Consultoria,5.0,23,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,JMarco Imóveis e Regularização,N/A,(21) 98584-9950,http://www.jmarcoimoveis.com.br/,Imobiliária,4.9,25,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Regularização de imóveis |Dra. Caroline Barros IConsultoria Jurídica,N/A,(21) 99667-8345,http://www.legalizacaodeimoveisrj.com.br/,Consultoria,5.0,12,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Regularização de imóveis e Corretora de Imóveis Baixada Fluminense e Grande Rio - Roselene Castro,N/A,(21) 97593-0988,https://wa.me/5521975930988,Consultoria,0.0,0,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Legalização de Imóveis RJ," · Av. Brás de Pina, 1088 - Loja B",(21) 97316-3235,https://legalizacaodeimoveis.com.br/,Despachante,0.0,0,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Advogado Imobiliário| C.B.Santos Assessoria Jurídica Especializada em Regularização de Imóveis," · Av. Geremário Dantas, 1401 - SALA 411",(21) 99667-8345,https://www.legalizacaodeimoveisrj.com.br/,Advogado imobiliário,5.0,14,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Advogado Igor Pitta - Direito Imobiliário e Regularização de Imóveis,N/A,(21) 97455-5444,N/A,Advogado imobiliário,0.0,0,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,"Guerra Carius Assessoria Jurídica e Imobiliária | Cível, Imobiliário, Inventário, Regularização, Divórcio - Rio de Janeiro",N/A,(21) 4560-3009,https://www.advguerracarius.com.br/,Advogado imobiliário,5.0,5,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Marinho Gonçalves Assessoria|Consumidor| Inventários | Condomínios| Família e Regularização de Imóveis,N/A,(21) 96546-8635,https://wa.me/message/2ZB5CJRURPKLL1,Empresa de advocacia,5.0,13,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Advogada Renata Lourenço de Lima - Advocacia Imobiliária & Regularização de Imóveis Judicial e Extrajudicial,N/A,(21) 97313-4444,https://rlsociedadedeadvocacia.com/,Advogado imobiliário,0.0,0,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,"Advogado de Inventário, Walterlandio Araújo, Especialista em Herança, Usucapião e Regularização de Imóveis"," · Av. Maria Teresa, 260",(21) 98285-4507,https://walterlandioaraujo.com.br/,Advogado,5.0,673,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Escritório de Advocacia de Direito Imobiliário Medeiros (CENTRAL DE LEGALIZAÇÃO DE IMÓVEIS),N/A,(21) 98620-2044,https://escritorio-direito-imobiliario-medeiros.webnode.page/,Advogado imobiliário,5.0,44,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,AN Despachantes. Regularização de Imóvel e Construção,N/A,(21) 99963-5816,https://www.andespachantes.com.br/,Despachante,5.0,1,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Regulariza Imoveis,N/A,(22) 99922-2412,http://regularizaimovel.blogspot.com/,Empresa de advocacia,0.0,0,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,Legalizzar + Seu Espaço,N/A,(21) 97425-9262,https://legalizzar.com.br/bio,Consultoria,5.0,49,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,"NP Advogado de Família, Inventário, Regularização Imóveis, Posse, Sucessão, Divórcio, Advocacia Especialista"," · Av. Erasmo Braga, 299 - Sala 503",N/A,https://nehemiaspena.com.br/,Advogado especialista em divórcios,5.0,131,N/A,N/A,N/A
Regularização de imóveis,Rio de Janeiro,LUGGARE Soluções Imobiliárias,N/A,(21) 99640-3233,http://www.luggare.com.br/,Imobiliária,5.0,39,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Acessibilidade Brasil,N/A,N/A,http://acessibilidadebrasil.org.br/,Centro Educacional,5.0,2,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,"Laudos de Acessibilidade, Vistorias, Consultoria e Projeto de Acessibilidade | Ana Jardim",N/A,(21) 99965-9873,https://www.anajardim.com/,Empresa de Auditoria,5.0,1,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Coordenadoria de Acessibilidade de Niterói," · Prédio da Rodoviária Roberto Silveira, Praça Fonseca Ramos, S/N",(21) 2613-6610,http://www.facebook.com/acessibilidadeniteroi,Repartição pública,3.0,1,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Acesso Vertical," · Rua Ewerton Xavier, R. Vinte e Dois, Qd 81 - Lt 03",(21) 99844-2183,https://acvertical.com.br/,Centro de treinamento,4.9,82,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Classe A Certificado Digital e Corretora de Seguros," · Temos Vallet pela rua lateral - Boulevard 28 de Setembro, 62, R. Jorge Rudge, 5 - sala 307",(21) 99658-8988,https://classeacor.com.br/,Agência de certificação,5.0,158,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Brasil Acessibilidade - Piso Tátil - Pvc - Concreto - Elemento Inox - Placa Braille - Laudo - Projeto," · Rua Frei Luiz Alevato, 356 - bloco 5, apto 504",(21) 99001-4545,https://www.brasilacessibilidade.com.br/,Fornecedor de equipamentos para deficientes,5.0,1,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,CPL -Soluções em Acessibilidade," · R. Dezenove de Fevereiro, 163",(21) 2266-4095,http://www.cpl.com.br/,Escritório da empresa,5.0,1,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Safe Rio Certificação Ltda," · R. da Quitanda, 19 - SLA 1209",(21) 99175-4418,https://www.saferiocertificadodigital.com.br/,Agência de certificação,5.0,787,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,BR CERTIFICADOS - Recreio e Barra da Tijuca," · Av. Embaixador Abelardo Bueno, 3500 - Sala 319",(21) 3738-4979,https://www.brcertificados.com.br/,Agência de certificação,5.0,555,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Inova - Certificado Digital Centro Niterói," · Av. Ernani do Amaral Peixoto, 455 - Sala 308",(21) 97713-7962,https://www.inovacertificacao.com.br/,Agência de certificação,5.0,115,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Certificado Digital - SafeBrasil," · R. da Conceição, 95",(21) 97365-8860,https://safebrasiloficial.com.br/,Agência de certificação,5.0,0,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,AR PENTA - Certificação Digital,N/A,(21) 2232-2164,http://www.pentacertificacao.com.br/,Agência de certificação,4.3,6,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Petram Certificados Digitais - Bangu,N/A,(21) 97205-5595,http://www.grupopetram.com.br/,Agência de certificação,4.4,7,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Nosso Certificado- Freguesia," · Estr. de Jacarepaguá, 7655 Sl 416 Unicenter",(21) 96433-5852,N/A,Agência de certificação,5.0,11,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,ar.LFdigital," · Estr. da Cacuia, 347 - sala 216",(21) 3173-0298,http://arlfdigital.com.br/,Agência de certificação,5.0,140,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,IFISI Acessibilidade e Produções," · R. Baepina, 96 - Bl 2 Ap 1106",(21) 97445-4355,https://ifisiacessibilidade.com.br/,Complexo de condomínio,5.0,9,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,Flexcert Certificação Digital,N/A,(21) 3491-9537,http://flexcert.com.br/,Escritório da empresa,4.3,4,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,IDS Contadores,N/A,(21) 3199-0013,https://idscontadores.com.br/,Assessoria contábil,4.7,15,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,SIG Certificação Digital," · R. Visc. de Sepetiba, 935 - loja 106",(21) 3617-5731,https://www.sigcertificadora.com.br/,Escritório da empresa,4.4,9,N/A,N/A,N/A
Certificação de acessibilidade,Rio de Janeiro,CTCP - Centro de Tecnologia Certificação e Pesquisa," · Cittá América - Av das Américas, 700 bloco 3, sala 119",(21) 3184-2364,https://ctcp.org.br/,Empresa de telecomunicação,5.0,1,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Brayner Engenharia | Energia Solar Residencial | Energia Solar Em Barra Da Tijuca - RJ | Energia solar Comercial," · R. Igarapé-Açu, 365",(21) 2434-4001,https://www.braynersolar.com.br/,Fornecedor de equipamentos a energia solar,5.0,35,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,SolarCorp Energia," · Av. das Américas, 3959 Marapendi Shopping, lojas 115 e 116",(21) 97094-7009,http://www.solarcorp.com.br/,Fornecedor de equipamentos a energia solar,4.7,98,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Geração Inteligente - Energia Solar Fotovoltaica,N/A,N/A,http://www.xn--geraointeligente-hnb5e.com/,Fornecedor de equipamentos a energia solar,5.0,21,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Energia Nobre," · Estr. do Engenho, 706",(21) 99678-9416,https://energianobre.com.br/contato/,Fornecedor de equipamentos a energia solar,5.0,11,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Evosolar Niterói - Energia Solar Fotovoltaica," · R. Dr. Nilo Peçanha, 133 - sala 401",(21) 99572-9658,https://www.evosolar.com.br/unidades/niteroi,Fornecedor de equipamentos a energia solar,4.9,71,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,FRIO ELETRO," · R. Antônio Ferreira Lima, 450",(21) 99865-6347,http://frioeletro.com/,Fornecedor de equipamentos a energia solar,5.0,15,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Energia Solar Absoluta," · Avn Avn, Av. Embaixador Abelardo Bueno, 01 - Sala 620",(21) 3584-5000,http://www.absolutaclima.com.br/,Fornecedor de equipamentos a energia solar,4.7,23,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,VIA SOLAR - Energia Solar,N/A,(21) 3594-5063,http://www.viaenergiasolar.com.br/,Empresa de energia solar,4.9,196,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Solar Economy,N/A,(21) 98747-0321,http://www.solareconomy.com.br/,Equipamentos e soluções de energia,5.0,28,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Renovo energia solar," · Av. Central Ewerton Xavier, 2101 - Sala 212",(21) 96706-1530,https://renovoenergiasolar.com.br/,Fornecedor de equipamentos a energia solar,5.0,114,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,EnergizaSun - Energia Solar,N/A,(21) 97286-8096,http://energizasun.com/,Fornecedor de equipamentos a energia solar,5.0,63,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Eco Luminus Solar Solutions,N/A,(21) 98062-7030,N/A,Empresa de energia solar,5.0,48,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,NLsolar Fotovoltaico,N/A,(21) 96974-4209,http://www.nlsolar.com.br/,Fornecedor de equipamentos a energia solar,5.0,15,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Litorânea Solar,N/A,N/A,N/A,Fornecedor de equipamentos a energia solar,4.8,23,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,FUTURA SOLAR | Energia Solar RJ," · Shopping Crystal Mall - Estr. dos Bandeirantes, 7967 - sala 204",(21) 2147-8970,https://futurasolar.com.br/,Empresa de energia solar,5.0,28,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,SolarThron," · Estr. do Pau-Ferro, 841",(21) 96492-7672,https://www.solarthron.com.br/,Fornecedor de equipamentos a energia solar,4.8,19,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,SolarOn Soluções em Energia Solar," · Av. das Américas, 13651 - Cobertura/Salas 301 e 302",(21) 3416-1075,https://www.solaron.eco.br/,Fornecedor de equipamentos a energia solar,4.7,96,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Rio Solares Energia Solar," · Av. Getúlio de Moura, 2201",(21) 96427-5104,https://www.riosolares.com.br/,Fornecedor de equipamentos a energia solar,5.0,42,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,Advanced Solar," · Av. Vice Pres. José Alencar, 1500",(21) 99188-2237,https://advancedsolar.com.br/,Empresa de energia solar,5.0,4,N/A,N/A,N/A
Energia solar comercial,Rio de Janeiro,"Plataforma Solar Ltda - Vendas, montagem e manutenção de Usinas Solares em Residências, Condomínios, Comércios e Indústrias.",N/A,(21) 98085-1908,http://www.plataformasolar.com.br/,Empresa de energia solar,5.0,29,N/A,N/A,N/A
